ID,per,age,OR,DES,Tstarta,Tstopa
2,1952.415,0,H,A,0,28
2,1980.415,28,A,C,28,31
2,1983.414,30.998,C,cens,31,46.167
8,1958.833,0,H,C,0,15.583
8,1974.414,15.581,C,M,15.583,16.583
8,1975.414,16.581,M,K,16.583,16.917
8,1975.748,16.915,K,cens,16.917,39.417
24,1967.666,0,H,C,0,15.917
24,1983.581,15.915,C,K,15.917,18.917
24,1986.581,18.915,K,cens,18.917,30.5
28,1956,0,H,M,0,22.167
28,1978.162,22.162,M,C,22.167,26.417
28,1982.414,26.414,C,K,26.417,32.75
28,1988.749,32.749,K,cens,32.75,42.25
34,1965.666,0,H,A,0,18.917
34,1984.582,18.916,A,C,18.917,26.333
34,1992,26.334,C,A,26.333,30.083
34,1995.748,30.082,A,cens,30.083,32.5
43,1950.666,0,H,K,0,19.25
43,1969.915,19.249,K,cens,19.25,47.5
52,1974.496,0,H,A,0,18.583
52,1993.085,18.589,A,cens,18.583,23.917
82,1957.329,0,H,A,0,23.667
82,1981,23.671,A,C,23.667,26.167
82,1983.496,26.167,C,M,26.167,27
82,1984.331,27.002,M,cens,27,41
96,1960,0,H,A,0,26.083
96,1986.085,26.085,A,C,26.083,26.417
96,1986.414,26.414,C,A,26.417,32.5
96,1992.497,32.497,A,C,32.5,33.917
96,1993.915,33.915,C,K,33.917,34.917
96,1994.915,34.915,K,cens,34.917,38.417
99,1971.748,0,H,A,0,18.917
99,1990.666,18.918,A,C,18.917,20.25
99,1992,20.252,C,cens,20.25,26.583
102,1972.833,0,H,A,0,17.25
102,1990.085,17.252,A,cens,17.25,25.333
113,1959.162,0,H,C,0,19.25
113,1978.414,19.252,C,M,19.25,20.333
113,1979.496,20.334,M,K,20.333,22.583
113,1981.748,22.586,K,cens,22.583,39.083
133,1975.162,0,H,K,0,16
133,1991.162,16,K,cens,16,23.083
148,1951.666,0,H,A,0,18.083
148,1969.748,18.082,A,C,18.083,24.083
148,1975.748,24.082,C,M,24.083,26.083
148,1977.748,26.082,M,K,26.083,26.417
148,1978.085,26.419,K,cens,26.417,46.75
149,1972.582,0,H,A,0,18.25
149,1990.833,18.251,A,C,18.25,24
149,1996.582,24,C,cens,24,25.75
155,1970.666,0,H,C,0,19.75
155,1990.414,19.748,C,K,19.75,20.75
155,1991.414,20.748,K,cens,20.75,27.583
167,1963.329,0,H,C,0,20.833
167,1984.164,20.835,C,K,20.833,22.583
167,1985.915,22.586,K,cens,22.583,35
175,1961.162,0,H,C,0,24.833
175,1986,24.838,C,M,24.833,28.083
175,1989.247,28.085,M,K,28.083,29.167
175,1990.329,29.167,K,cens,29.167,37
181,1951.581,0,H,A,0,25
181,1976.582,25.001,A,M,25,28
181,1979.581,28,M,K,28,28.75
181,1980.331,28.75,K,cens,28.75,46.583
185,1965.414,0,H,M,0,23.417
185,1988.833,23.42,M,K,23.417,28.583
185,1994,28.586,K,cens,28.583,32.917
197,1948.497,0,H,M,0,20.917
197,1969.414,20.916,M,K,20.917,21.667
197,1970.162,21.664,K,cens,21.667,49.917
206,1950.915,0,H,A,0,23.667
206,1974.581,23.666,A,C,23.667,25.667
206,1976.582,25.667,C,M,25.667,27.583
206,1978.496,27.581,M,cens,27.583,47.333
212,1979,0,H,cens,0,19.25
222,1967.581,0,H,C,0,22.083
222,1989.666,22.085,C,M,22.083,25
222,1992.582,25.001,M,K,25,29.083
222,1996.667,29.086,K,cens,29.083,30.833
232,1976,0,H,C,0,19.167
232,1995.162,19.162,C,A,19.167,21.333
232,1997.329,21.329,A,cens,21.333,22.333
234,1975.915,0,H,cens,0,22.5
236,1965.915,0,H,C,0,20.833
236,1986.748,20.833,C,A,20.833,21.417
236,1987.329,21.414,A,C,21.417,22
236,1987.915,22,C,M,22,22.667
236,1988.582,22.667,M,K,22.667,23
236,1988.915,23,K,cens,23,32.333
266,1955.833,0,H,M,0,18.5
266,1974.329,18.496,M,K,18.5,19.583
266,1975.414,19.581,K,cens,19.583,42.583
274,1958.496,0,H,M,0,23.667
274,1982.162,23.666,M,K,23.667,27.583
274,1986.085,27.589,K,cens,27.583,39.833
282,1977.414,0,H,cens,0,21
283,1959,0,H,M,0,21.333
283,1980.331,21.331,M,K,21.333,25.583
283,1984.582,25.582,K,cens,25.583,39.167
287,1975.085,0,H,C,0,22.667
287,1997.748,22.663,C,cens,22.667,23.167
289,1945.247,0,H,M,0,22.083
289,1967.329,22.082,M,K,22.083,23.75
289,1969,23.753,K,cens,23.75,53.167
293,1962.915,0,H,C,0,20
293,1982.915,20,C,M,20,26.25
293,1989.162,26.247,M,K,26.25,27.083
293,1990,27.085,K,cens,27.083,35.5
302,1955.329,0,H,M,0,24.167
302,1979.496,24.167,M,K,24.167,25.667
302,1981,25.671,K,cens,25.667,43.083
316,1963.915,0,H,M,0,16.167
316,1980.085,16.17,M,A,16.167,18.167
316,1982.085,18.17,A,C,18.167,20.5
316,1984.415,20.5,C,K,20.5,21
316,1984.915,21,K,cens,21,34.25
341,1966.247,0,H,C,0,19.083
341,1985.329,19.082,C,M,19.083,24.083
341,1990.329,24.082,M,K,24.083,27.25
341,1993.496,27.249,K,cens,27.25,31.917
351,1945.833,0,H,M,0,24.083
351,1969.915,24.082,M,K,24.083,27.167
351,1973,27.167,K,cens,27.167,52.333
369,1971.329,0,H,A,0,19.917
369,1991.247,19.918,A,C,19.917,22.083
369,1993.414,22.085,C,C,22.083,23.083
369,1994.414,23.085,C,M,23.083,25.083
369,1996.415,25.087,M,cens,25.083,27.083
374,1967.247,0,H,A,0,19.833
374,1987.085,19.838,A,C,19.833,20.417
374,1987.666,20.419,C,M,20.417,28.417
374,1995.666,28.419,M,K,28.417,28.833
374,1996.085,28.838,K,cens,28.833,31
418,1946.915,0,H,M,0,19.417
418,1966.329,19.414,M,K,19.417,20.917
418,1967.833,20.918,K,cens,20.917,51.417
426,1960.415,0,H,M,0,21.667
426,1982.085,21.67,M,K,21.667,24.5
426,1984.915,24.5,K,cens,24.5,38
433,1951.666,0,H,M,0,20.083
433,1971.748,20.082,M,K,20.083,20.5
433,1972.164,20.498,K,cens,20.5,46.75
451,1964.164,0,H,C,0,15.917
451,1980.085,15.921,C,A,15.917,19.167
451,1983.329,19.165,A,C,19.167,22.417
451,1986.581,22.417,C,M,22.417,23.167
451,1987.329,23.165,M,cens,23.167,34.25
458,1947.414,0,H,M,0,21.333
458,1968.749,21.335,M,K,21.333,22.5
458,1969.915,22.501,K,cens,22.5,50.917
466,1976.249,0,H,cens,0,22
469,1978.162,0,H,cens,0,20.25
491,1961.414,0,H,C,0,21.5
491,1982.915,21.501,C,M,21.5,22.917
491,1984.331,22.917,M,K,22.917,24.25
491,1985.666,24.252,K,cens,24.25,36.917
499,1948.833,0,H,A,0,20.167
499,1969,20.167,A,M,20.167,22.75
499,1971.581,22.747,M,K,22.75,25.667
499,1974.496,25.663,K,cens,25.667,49.333
501,1977.162,0,H,cens,0,21.25
512,1958.833,0,H,A,0,17.833
512,1976.667,17.834,A,M,17.833,21.083
512,1979.915,21.082,M,K,21.083,22.5
512,1981.329,22.496,K,cens,22.5,39.583
514,1956.164,0,H,A,0,17.917
514,1974.085,17.921,A,C,17.917,21.083
514,1977.247,21.083,C,M,21.083,23.5
514,1979.666,23.502,M,K,23.5,28.167
514,1984.331,28.167,K,cens,28.167,42.25
519,1954.414,0,H,M,0,21.083
519,1975.496,21.082,M,K,21.083,26.417
519,1980.833,26.42,K,cens,26.417,43.75
540,1952,0,H,M,0,18.917
540,1970.915,18.915,M,K,18.917,22.417
540,1974.414,22.414,K,cens,22.417,46.333
543,1978.915,0,H,cens,0,19.5
550,1957.414,0,H,C,0,24.333
550,1981.748,24.334,C,cens,24.333,40.75
558,1969.247,0,H,C,0,19
558,1988.249,19.002,C,A,19,20.25
558,1989.496,20.249,K,cens,20.25,29
559,1970.085,0,H,C,0,22.167
559,1992.249,22.164,C,M,22.167,24.25
559,1994.329,24.244,M,K,24.25,26.083
559,1996.164,26.079,K,cens,26.083,28.167
569,1950.414,0,H,M,0,20.333
569,1970.748,20.334,M,K,20.333,21.417
569,1971.833,21.419,K,cens,21.417,47.833
573,1969.915,0,H,A,0,21.5
573,1991.414,21.499,A,M,21.5,23.333
573,1993.247,23.332,M,K,23.333,25.417
573,1995.329,25.414,K,cens,25.417,28.25
589,1953.915,0,H,M,0,19.417
589,1973.329,19.414,M,K,19.417,22.5
589,1976.415,22.5,K,cens,22.5,44.333
597,1979,0,H,cens,0,19.417
643,1961.329,0,H,C,0,20.667
643,1982,20.671,C,M,20.667,23.5
643,1984.833,23.505,M,K,23.5,24.583
643,1985.915,24.586,K,cens,24.583,37.083
647,1961.247,0,H,C,0,17.167
647,1978.414,17.167,C,A,17.167,18.167
647,1979.414,18.167,A,C,18.167,20.083
647,1981.329,20.082,C,M,20.083,22.333
647,1983.581,22.334,M,K,22.333,28
647,1989.247,28,K,cens,28,37
661,1961.329,0,H,A,0,24.917
661,1986.247,24.918,A,C,24.917,32.083
661,1993.414,32.085,C,A,32.083,34.917
661,1996.249,34.92,A,cens,34.917,37.083
669,1971.666,0,H,C,0,24.5
669,1996.164,24.498,C,cens,24.5,26.5
670,1975.581,0,H,cens,0,22.583
672,1974.085,0,H,C,0,22.333
672,1996.415,22.33,C,cens,22.333,24.25
706,1964.331,0,H,C,0,20.25
706,1984.582,20.251,C,M,20.25,22.833
706,1987.162,22.831,M,K,22.833,26.667
706,1991,26.669,K,cens,26.667,33.917
717,1958.162,0,H,A,0,18.417
717,1976.582,18.42,A,C,18.417,20.75
717,1978.915,20.753,C,A,20.75,29.75
717,1987.915,29.753,A,M,29.75,33
717,1991.162,33,M,A,33,38.667
717,1996.833,38.672,A,cens,38.667,40.167
750,1976.497,0,H,A,0,20.083
750,1996.582,20.085,A,cens,20.083,21.75
762,1953.748,0,H,M,0,20.5
762,1974.247,20.499,M,K,20.5,22.583
762,1976.331,22.583,K,cens,22.583,44.583
773,1957.496,0,H,A,0,18.167
773,1975.666,18.17,A,C,18.167,25.167
773,1982.666,25.17,C,M,25.167,25.583
773,1983.085,25.589,M,A,25.583,33
773,1990.496,33,A,C,33,35.167
773,1992.667,35.171,C,M,35.167,35.833
773,1993.329,35.833,M,cens,35.833,40.75
775,1964.085,0,H,C,0,22.333
775,1986.414,22.329,C,M,22.333,22.5
775,1986.581,22.496,M,K,22.5,23.25
775,1987.329,23.244,K,cens,23.25,34.167
807,1978.748,0,H,cens,0,19.667
815,1958.915,0,H,K,0,29.667
815,1988.582,29.667,K,cens,29.667,39.417
823,1951.414,0,H,C,0,22.167
823,1973.581,22.167,C,M,22.167,23.5
823,1974.915,23.501,M,A,23.5,28.667
823,1980.085,28.671,A,C,28.667,29.917
823,1981.329,29.915,C,M,29.917,31.5
823,1982.915,31.501,M,K,31.5,33
823,1984.415,33.002,K,cens,33,46.917
830,1961,0,H,M,0,24.5
830,1985.496,24.496,M,K,24.5,25.75
830,1986.748,25.748,K,cens,25.75,37.25
841,1964.331,0,H,A,0,18.917
841,1983.247,18.916,A,C,18.917,21.5
841,1985.833,21.502,C,M,21.5,33.083
841,1997.414,33.083,M,K,33.083,33.333
841,1997.666,33.335,K,cens,33.333,34
849,1965.581,0,H,C,0,20.25
849,1985.833,20.252,C,M,20.25,24.083
849,1989.666,24.085,M,K,24.083,29.25
849,1994.833,29.252,K,cens,29.25,32.667
862,1978.329,0,H,cens,0,19.833
873,1974,0,H,cens,0,24.167
875,1945.162,0,H,A,0,16.5
875,1961.666,16.504,A,C,16.5,27.5
875,1972.667,27.505,C,M,27.5,29.75
875,1974.915,29.753,M,K,29.75,33.25
875,1978.414,33.252,K,cens,33.25,53.167
878,1947.748,0,H,M,0,21.917
878,1969.666,21.918,M,K,21.917,22.917
878,1970.666,22.918,K,cens,22.917,50.417
888,1973.085,0,H,C,0,17.833
888,1990.915,17.83,C,M,17.833,17.917
888,1991,17.915,M,K,17.917,18.333
888,1991.414,18.329,K,cens,18.333,25.167
906,1949.162,0,H,M,0,22.5
906,1971.666,22.504,M,K,22.5,23.333
906,1972.497,23.336,K,cens,23.333,49.167
914,1946.581,0,H,M,0,20
914,1966.581,20,M,K,20,22.583
914,1969.162,22.581,K,cens,22.583,51.667
970,1968.085,0,H,A,0,19.417
970,1987.496,19.411,A,C,19.417,21.833
970,1989.915,21.83,C,M,21.833,26.5
970,1994.581,26.496,M,K,26.5,29.25
970,1997.329,29.244,K,cens,29.25,30.25
980,1972.497,0,H,C,0,21.333
980,1993.833,21.336,C,M,21.333,24.25
980,1996.749,24.251,M,cens,24.25,25.75
985,1957,0,H,C,0,23
985,1980,23,C,M,23,23.667
985,1980.667,23.667,M,cens,23.667,41.167
988,1967.833,0,H,C,0,22.083
988,1989.915,22.082,C,M,22.083,25.5
988,1993.329,25.496,M,K,25.5,28.75
988,1996.582,28.749,K,cens,28.75,30.333
993,1951.162,0,H,M,0,21.75
993,1972.915,21.754,M,K,21.75,27.333
993,1978.496,27.334,K,cens,27.333,47.167
998,1976.331,0,H,A,0,19.417
998,1995.748,19.417,A,cens,19.417,22.083
1013,1967.748,0,H,C,0,24.833
1013,1992.582,24.834,C,M,24.833,30.25
1013,1998,30.252,M,K,30.25,30.417
1013,1998.162,30.414,K,cens,30.417,30.667
1056,1968.582,0,H,A,0,21.5
1056,1990.085,21.503,A,C,21.5,24.917
1056,1993.496,24.914,C,M,24.917,27.167
1056,1995.748,27.166,M,K,27.167,28.5
1056,1997.085,28.503,K,cens,28.5,29.583
1059,1973,0,H,cens,0,25.25
1061,1972.415,0,H,M,0,21.417
1061,1993.833,21.418,M,cens,21.417,25.75
1071,1963.581,0,H,C,0,19.833
1071,1983.414,19.833,C,K,19.833,31.75
1071,1995.329,31.748,K,cens,31.75,34.75
1092,1972.164,0,H,C,0,22.417
1092,1994.581,22.417,C,K,22.417,24.167
1092,1996.331,24.167,K,cens,24.167,26.167
1096,1958,0,H,M,0,20.667
1096,1978.666,20.666,M,K,20.667,24
1096,1982,24,K,cens,24,40.333
1111,1969.329,0,H,C,0,24.25
1111,1993.581,24.252,C,K,24.25,26.333
1111,1995.666,26.337,K,cens,26.333,28.833
1117,1979.329,0,H,cens,0,18.917
1135,1958.666,0,H,M,0,20.917
1135,1979.581,20.915,M,K,20.917,26.333
1135,1985,26.334,K,cens,26.333,39.667
1154,1970.247,0,H,A,0,22.5
1154,1992.749,22.502,A,cens,22.5,28
1167,1966,0,H,C,0,19.667
1167,1985.666,19.666,C,M,19.667,24.25
1167,1990.247,24.247,M,cens,24.25,32.167
1181,1958.581,0,H,A,0,20.083
1181,1978.666,20.085,A,C,20.083,24.833
1181,1983.414,24.833,C,A,24.833,26.583
1181,1985.162,26.581,A,C,26.583,27.083
1181,1985.666,27.085,C,M,27.083,29
1181,1987.581,29,M,K,29,30.417
1181,1989,30.419,K,cens,30.417,39.667
1187,1955.329,0,H,A,0,18.333
1187,1973.666,18.337,A,C,18.333,23
1187,1978.329,23,C,M,23,25.5
1187,1980.833,25.505,M,K,25.5,25.917
1187,1981.247,25.918,K,cens,25.917,43
1200,1961.666,0,H,A,0,18.667
1200,1980.331,18.665,A,K,18.667,23.75
1200,1985.414,23.748,K,cens,23.75,36.5
1202,1954.162,0,H,M,0,24.5
1202,1978.666,24.504,M,K,24.5,27.583
1202,1981.748,27.586,K,cens,27.583,44.167
1204,1952,0,H,C,0,22.417
1204,1974.414,22.414,C,M,22.417,24.25
1204,1976.249,24.249,M,K,24.25,28.167
1204,1980.164,28.164,K,cens,28.167,46.25
1248,1967.414,0,H,M,0,26.167
1248,1993.581,26.167,M,K,26.167,29
1248,1996.415,29.002,K,cens,29,30.917
1260,1946.833,0,H,A,0,16.833
1260,1963.666,16.833,A,M,16.833,23.083
1260,1969.915,23.082,M,K,23.083,24.667
1260,1971.496,24.663,K,cens,24.667,51.333
1281,1968.749,0,H,A,0,21.25
1281,1990,21.251,A,C,21.25,25.417
1281,1994.162,25.413,C,M,25.417,27.917
1281,1996.667,27.918,M,K,27.917,29.167
1281,1997.915,29.166,K,cens,29.167,29.417
1288,1960.833,0,H,M,0,22.25
1288,1983.085,22.252,M,K,22.25,30.833
1288,1991.666,30.832,K,cens,30.833,37.333
1299,1967.915,0,H,A,0,19.083
1299,1987,19.085,A,C,19.083,21.583
1299,1989.496,21.581,C,M,21.583,23.25
1299,1991.162,23.247,M,cens,23.25,30.25
1305,1978.496,0,H,A,0,18.167
1305,1996.667,18.171,A,cens,18.167,19.75
1323,1979.581,0,H,cens,0,18.583
1333,1967.247,0,H,A,0,17.75
1333,1985,17.753,A,C,17.75,18.333
1333,1985.581,18.334,C,A,18.333,20.167
1333,1987.414,20.167,A,C,20.167,20.75
1333,1988,20.753,C,A,20.75,24.75
1333,1992,24.753,A,cens,24.75,31.167
1343,1959.915,0,H,A,0,26.5
1343,1986.414,26.499,A,C,26.5,31
1343,1990.915,31,C,cens,31,38.333
1387,1960.164,0,H,M,0,20.75
1387,1980.915,20.751,M,K,20.75,33.917
1387,1994.085,33.921,K,cens,33.917,38.25
1409,1977.581,0,H,cens,0,20.75
1415,1948.915,0,H,M,0,20.75
1415,1969.666,20.75,M,K,20.75,21.583
1415,1970.496,21.581,K,cens,21.583,49.5
1422,1968.749,0,H,M,0,23.667
1422,1992.415,23.667,M,K,23.667,25.083
1422,1993.833,25.084,K,cens,25.083,29.417
1423,1963.915,0,H,C,0,18.5
1423,1982.414,18.499,C,A,18.5,25.417
1423,1989.329,25.414,A,C,25.417,27
1423,1990.915,27,C,A,27,31.667
1423,1995.581,31.666,A,cens,31.667,34.417
1425,1971.833,0,H,M,0,20.833
1425,1992.667,20.834,M,K,20.833,22.167
1425,1994,22.167,K,cens,22.167,26.333
1434,1945.748,0,H,M,0,25.083
1434,1970.833,25.085,M,K,25.083,26.917
1434,1972.667,26.919,K,cens,26.917,52.583
1446,1965.666,0,H,M,0,23.667
1446,1989.329,23.663,M,K,23.667,25.5
1446,1991.162,25.496,K,cens,25.5,32.75
1464,1976.497,0,H,A,0,20.5
1464,1997,20.503,A,C,20.5,21.667
1464,1998.162,21.664,C,cens,21.667,21.75
1466,1974.496,0,H,A,0,18.083
1466,1992.582,18.086,A,cens,18.083,23.75
1492,1970.581,0,H,M,0,18.333
1492,1988.915,18.334,M,A,18.333,24.75
1492,1995.329,24.748,A,cens,24.75,27.583
1496,1977.666,0,H,A,0,19.25
1496,1996.915,19.25,A,cens,19.25,20.667
1512,1966.414,0,H,A,0,19.167
1512,1985.581,19.167,A,C,19.167,22.5
1512,1988.915,22.502,C,A,22.5,30.333
1512,1996.749,30.335,A,C,30.333,31.333
1512,1997.748,31.334,C,A,31.333,31.5
1512,1997.915,31.501,A,cens,31.5,31.833
1539,1949.581,0,H,C,0,31.833
1539,1981.414,31.833,C,M,31.833,33.083
1539,1982.666,33.085,M,A,33.083,33.833
1539,1983.414,33.833,A,C,33.833,34.417
1539,1984,34.419,C,M,34.417,36.167
1539,1985.748,36.167,M,cens,36.167,48.667
1547,1961.748,0,H,C,0,21.083
1547,1982.833,21.085,C,A,21.083,23.667
1547,1985.414,23.666,A,C,23.667,26.083
1547,1987.833,26.085,C,A,26.083,28.25
1547,1990,28.252,A,cens,28.25,36.583
1561,1950.085,0,H,M,0,16.417
1561,1966.496,16.411,M,K,16.417,16.917
1561,1967,16.915,K,cens,16.917,48.25
1565,1970.581,0,H,A,0,22.667
1565,1993.247,22.666,A,C,22.667,23.083
1565,1993.666,23.085,C,cens,23.083,27.833
1579,1972.249,0,H,C,0,17.917
1579,1990.162,17.913,C,K,17.917,21.083
1579,1993.329,21.08,K,cens,21.083,26.083
1581,1974,0,H,cens,0,24.167
1583,1967.748,0,H,A,0,24.083
1583,1991.833,24.085,A,C,24.083,25.25
1583,1993,25.252,C,K,25.25,25.5
1583,1993.247,25.499,K,cens,25.5,30.417
1598,1962.748,0,H,C,0,18.667
1598,1981.414,18.666,C,M,18.667,19.583
1598,1982.329,19.581,M,K,19.583,20.583
1598,1983.329,20.581,K,cens,20.583,35.667
1613,1968.331,0,H,C,0,19.083
1613,1987.414,19.083,C,A,19.083,21.667
1613,1990,21.669,A,C,21.667,24.583
1613,1992.915,24.585,C,M,24.583,25.833
1613,1994.162,25.831,M,K,25.833,26.417
1613,1994.748,26.417,K,cens,26.417,29.917
1623,1960.582,0,H,C,0,20.083
1623,1980.667,20.085,C,M,20.083,21.583
1623,1982.162,21.58,M,K,21.583,27.75
1623,1988.331,27.749,K,cens,27.75,37.667
1645,1973.329,0,H,C,0,21.083
1645,1994.414,21.085,C,A,21.083,22.167
1645,1995.496,22.167,A,C,22.167,22.75
1645,1996.085,22.756,C,cens,22.75,25.083
1650,1946.329,0,H,M,0,22.583
1650,1968.915,22.587,M,K,22.583,24.25
1650,1970.581,24.252,K,cens,24.25,52.167
1656,1963,0,H,C,0,23.667
1656,1986.666,23.666,C,M,23.667,26.417
1656,1989.414,26.414,M,K,26.417,27.917
1656,1990.915,27.915,K,cens,27.917,35.417
1662,1958,0,H,M,0,14.417
1662,1972.415,14.415,M,A,14.417,15.833
1662,1973.833,15.833,A,C,15.833,23.417
1662,1981.414,23.414,C,K,23.417,25.417
1662,1983.414,25.414,K,cens,25.417,40.333
1663,1975.329,0,H,C,0,22.583
1663,1997.915,22.586,C,cens,22.583,23
1680,1967.915,0,H,cens,0,30.333
1692,1964.415,0,H,C,0,25.333
1692,1989.748,25.333,C,M,25.333,30.083
1692,1994.496,30.081,M,K,30.083,32.167
1692,1996.582,32.167,K,cens,32.167,34
1708,1957.496,0,H,M,0,22.917
1708,1980.415,22.919,M,cens,22.917,40.833
1709,1956.582,0,H,M,0,25.083
1709,1981.666,25.084,M,K,25.083,27.75
1709,1984.331,27.749,K,cens,27.75,41.583
1716,1953.833,0,H,M,0,24.083
1716,1977.915,24.082,M,cens,24.083,44.583
1729,1957.414,0,H,M,0,19.667
1729,1977.085,19.671,M,K,19.667,21
1729,1978.414,21,K,cens,21,41
1731,1947.833,0,H,A,0,19.583
1731,1967.414,19.581,A,C,19.583,26.583
1731,1974.414,26.581,C,M,26.583,37.083
1731,1984.915,37.082,M,A,37.083,42.583
1731,1990.414,42.581,A,C,42.583,43.583
1731,1991.414,43.581,C,A,43.583,45.667
1731,1993.496,45.663,A,cens,45.667,50.583
1735,1957.085,0,H,A,0,19.5
1735,1976.582,19.497,A,C,19.5,24.333
1735,1981.414,24.329,C,A,24.333,27.333
1735,1984.415,27.33,A,C,27.333,28.333
1735,1985.414,28.329,C,M,28.333,31.667
1735,1988.749,31.664,M,K,31.667,32.25
1735,1989.329,32.244,K,cens,32.25,41.167
1736,1979.748,0,H,cens,0,18.583
1751,1953.247,0,H,M,0,23.167
1751,1976.415,23.169,M,K,23.167,29.583
1751,1982.833,29.586,K,cens,29.583,45.167
1755,1969.247,0,H,M,0,24.083
1755,1993.329,24.082,M,K,24.083,28.333
1755,1997.581,28.334,K,cens,28.333,29.083
1768,1972.582,0,H,cens,0,25.583
1770,1948.085,0,H,M,0,21.5
1770,1969.581,21.496,M,A,21.5,26
1770,1974.085,26,A,C,26,26.167
1770,1974.247,26.162,C,A,26.167,29.083
1770,1977.162,29.077,A,C,29.083,31.5
1770,1979.581,31.496,C,M,31.5,32.083
1770,1980.164,32.079,M,K,32.083,33.5
1770,1981.581,33.496,K,cens,33.5,50.167
1775,1969.496,0,H,M,0,24.167
1775,1993.666,24.17,M,K,24.167,25.917
1775,1995.414,25.918,K,cens,25.917,28.667
1780,1967.748,0,H,M,0,22.667
1780,1990.414,22.666,M,K,22.667,29.167
1780,1996.915,29.167,K,cens,29.167,30.667
1807,1972.497,0,H,C,0,25.417
1807,1997.915,25.418,C,cens,25.417,25.917
1810,1966.915,0,H,C,0,21.75
1810,1988.667,21.752,C,cens,21.75,31.5
1825,1970.247,0,H,C,0,17.75
1825,1988,17.753,C,M,17.75,23.083
1825,1993.329,23.082,M,K,23.083,23.5
1825,1993.748,23.501,K,cens,23.5,28.083
1842,1963.329,0,H,C,0,22.25
1842,1985.581,22.252,C,M,22.25,25.917
1842,1989.247,25.918,M,K,25.917,27.833
1842,1991.162,27.833,K,cens,27.833,34.917
1855,1961.496,0,H,M,0,19.833
1855,1981.329,19.833,M,K,19.833,23.083
